ID;Origem;Modal;Segmento
589821;AutoCadastro;MOTORCYCLE;Fiel
841;EmpresaParceira;BIKE;Novo
2164767;EmpresaParceira;CAR;Desistiu
1259381;AutoCadastro;MOTORCYCLE;Desistiu
509297;AutoCadastro;BIKE;Desistiu
654509;EmpresaParceira;MOTORCYCLE;Desistiu
1058119;EmpresaParceira;BIKE;Novo
2106401;AutoCadastro;MOTORCYCLE;Fiel
7598;EmpresaParceira;BIKE;Novo
824409;AutoCadastro;MOTORCYCLE;Desistiu
1041551;EmpresaParceira;MOTORCYCLE;Fiel
19889;AutoCadastro;MOTORCYCLE;Fiel
1570671;AutoCadastro;MOTORCYCLE;Desistiu
1859789;AutoCadastro;MOTORCYCLE;Fiel
602649;AutoCadastro;MOTORCYCLE;Fiel
460378;AutoCadastro;MOTORCYCLE;Fiel
4590014;EmpresaParceira;CAR;Desistiu
451573;EmpresaParceira;MOTORCYCLE;Fiel
887412;AutoCadastro;BIKE;Novo
9185;EmpresaParceira;BIKE;Novo
2217490;EmpresaParceira;MOTORCYCLE;Fiel
1526043;AutoCadastro;BIKE;Novo
1843118;EmpresaParceira;MOTORCYCLE;Novo
269741;AutoCadastro;MOTORCYCLE;Fiel
251218;EmpresaParceira;MOTORCYCLE;Fiel
3784;EmpresaParceira;CAR;Desistiu
1807779;AutoCadastro;BIKE;Novo
8140339;EmpresaParceira;BIKE;Novo
4454;EmpresaParceira;CAR;Desistiu
1104090;AutoCadastro;BIKE;Novo
3008674;EmpresaParceira;BIKE;Novo
1115718;EmpresaParceira;MOTORCYCLE;Fiel
1282071;AutoCadastro;MOTORCYCLE;Desistiu
2628065;EmpresaParceira;MOTORCYCLE;Novo
2657488;EmpresaParceira;MOTORCYCLE;Fiel
1085458;AutoCadastro;BIKE;Novo
1558216;AutoCadastro;MOTORCYCLE;Fiel
157259;EmpresaParceira;MOTORCYCLE;Desistiu
2377960;EmpresaParceira;MOTORCYCLE;Fiel
5120;EmpresaParceira;BIKE;Novo
217592;EmpresaParceira;MOTORCYCLE;Fiel
2707866;AutoCadastro;CAR;Desistiu
1812363;AutoCadastro;MOTORCYCLE;Novo
2797633;EmpresaParceira;MOTORCYCLE;Novo
602550;AutoCadastro;MOTORCYCLE;Fiel
413128;AutoCadastro;BIKE;Novo
13494;AutoCadastro;MOTORCYCLE;Desistiu
84261;EmpresaParceira;MOTORCYCLE;Fiel
8046;EmpresaParceira;BIKE;Novo
716737;AutoCadastro;MOTORCYCLE;Fiel
259;EmpresaParceira;CAR;Desistiu
180762;AutoCadastro;MOTORCYCLE;Desistiu
2843204;EmpresaParceira;MOTORCYCLE;Novo
1516383;AutoCadastro;BIKE;Novo
2816652;EmpresaParceira;MOTORCYCLE;Fiel
852398;AutoCadastro;MOTORCYCLE;Fiel
926645;AutoCadastro;MOTORCYCLE;Fiel
2687865;EmpresaParceira;MOTORCYCLE;Novo
65052;EmpresaParceira;MOTORCYCLE;Fiel
5654473;EmpresaParceira;BIKE;Novo
448550;AutoCadastro;BIKE;Novo
921376;AutoCadastro;MOTORCYCLE;Fiel
8626;EmpresaParceira;BIKE;Novo
1975720;EmpresaParceira;MOTORCYCLE;Fiel
1108315;AutoCadastro;MOTORCYCLE;Fiel
165647;AutoCadastro;MOTORCYCLE;Fiel
1306981;AutoCadastro;CAR;Desistiu
6693808;EmpresaParceira;CAR;Desistiu
708510;AutoCadastro;MOTORCYCLE;Fiel
583607;AutoCadastro;BIKE;Novo
2244808;EmpresaParceira;MOTORCYCLE;Fiel
244840;AutoCadastro;MOTORCYCLE;Desistiu
1942142;AutoCadastro;MOTORCYCLE;Fiel
584180;AutoCadastro;MOTORCYCLE;Fiel
457829;EmpresaParceira;BIKE;Novo
2378854;AutoCadastro;MOTORCYCLE;Novo
1345546;AutoCadastro;MOTORCYCLE;Fiel
1597528;AutoCadastro;MOTORCYCLE;Fiel
2318307;EmpresaParceira;MOTORCYCLE;Fiel
1171293;AutoCadastro;MOTORCYCLE;Fiel
816925;AutoCadastro;MOTORCYCLE;Fiel
2053429;AutoCadastro;MOTORCYCLE;Fiel
301298;AutoCadastro;MOTORCYCLE;Fiel
791562;AutoCadastro;MOTORCYCLE;Fiel
1522858;AutoCadastro;MOTORCYCLE;Fiel
1851932;AutoCadastro;BIKE;Novo
650342;AutoCadastro;MOTORCYCLE;Desistiu
370242;AutoCadastro;MOTORCYCLE;Fiel
8137;EmpresaParceira;BIKE;Novo
34554;AutoCadastro;MOTORCYCLE;Desistiu
1463874;AutoCadastro;MOTORCYCLE;Fiel
4876;EmpresaParceira;BIKE;Novo
1687916;AutoCadastro;BIKE;Novo
2271176;EmpresaParceira;MOTORCYCLE;Fiel
210020;AutoCadastro;MOTORCYCLE;Fiel
221;EmpresaParceira;BIKE;Novo
1582912;AutoCadastro;MOTORCYCLE;Fiel
433373;AutoCadastro;MOTORCYCLE;Fiel
922751;EmpresaParceira;MOTORCYCLE;Fiel
20990;AutoCadastro;MOTORCYCLE;Fiel
451571;AutoCadastro;MOTORCYCLE;Fiel
1092429;AutoCadastro;BIKE;Desistiu
2403381;AutoCadastro;MOTORCYCLE;Fiel
909829;AutoCadastro;MOTORCYCLE;Fiel
3876902;EmpresaParceira;CAR;Desistiu
4602702;EmpresaParceira;BIKE;Novo
902304;AutoCadastro;MOTORCYCLE;Fiel
1334930;AutoCadastro;BIKE;Novo
2242879;AutoCadastro;BIKE;Novo
21606;AutoCadastro;MOTORCYCLE;Fiel
7585;EmpresaParceira;BIKE;Novo
382445;AutoCadastro;MOTORCYCLE;Fiel
1928405;AutoCadastro;MOTORCYCLE;Fiel
929343;AutoCadastro;MOTORCYCLE;Fiel
6363;EmpresaParceira;BIKE;Novo
8197997;EmpresaParceira;BIKE;Novo
1964847;EmpresaParceira;BIKE;Desistiu
1953277;AutoCadastro;MOTORCYCLE;Novo
2145992;EmpresaParceira;MOTORCYCLE;Fiel
1936581;EmpresaParceira;MOTORCYCLE;Fiel
1910131;AutoCadastro;MOTORCYCLE;Fiel
535404;AutoCadastro;BIKE;Novo
236538;EmpresaParceira;MOTORCYCLE;Fiel
70012;AutoCadastro;MOTORCYCLE;Fiel
834712;AutoCadastro;MOTORCYCLE;Fiel
8413;EmpresaParceira;CAR;Desistiu
662191;AutoCadastro;MOTORCYCLE;Fiel
784474;AutoCadastro;MOTORCYCLE;Fiel
863091;AutoCadastro;MOTORCYCLE;Fiel
2189379;AutoCadastro;BIKE;Novo
892955;EmpresaParceira;MOTORCYCLE;Fiel
717402;EmpresaParceira;MOTORCYCLE;Fiel
2300;EmpresaParceira;BIKE;Desistiu
435307;AutoCadastro;BIKE;Novo
1568244;EmpresaParceira;MOTORCYCLE;Novo
1463985;AutoCadastro;MOTORCYCLE;Desistiu
1809446;EmpresaParceira;BIKE;Novo
2060635;AutoCadastro;MOTORCYCLE;Desistiu
6993345;EmpresaParceira;CAR;Desistiu
2166908;EmpresaParceira;BIKE;Fiel
2495725;AutoCadastro;MOTORCYCLE;Fiel
818621;AutoCadastro;MOTORCYCLE;Desistiu
1764942;EmpresaParceira;BIKE;Fiel
1863558;AutoCadastro;BIKE;Fiel
1787109;EmpresaParceira;MOTORCYCLE;Fiel
1165080;AutoCadastro;CAR;Desistiu
177144;AutoCadastro;MOTORCYCLE;Fiel
1211759;EmpresaParceira;MOTORCYCLE;Fiel
527148;AutoCadastro;MOTORCYCLE;Fiel
236628;AutoCadastro;MOTORCYCLE;Desistiu
927669;AutoCadastro;MOTORCYCLE;Fiel
1619;EmpresaParceira;CAR;Desistiu
